"date","gdp_change","unrate","nfjobs","treas10yr","fedintrate","personincomechg","cpi","population","corpprofitchg","crude_wti","ppi","gold","japan","uk"
1971 Q1,18.2,6,70860,5.53,3.71,4.7,40,206960,12.7497656982193,3.56,37.8,38.8,357.5187,2.4187
1971 Q2,7.7,5.9,71254,6.7,4.91,4.9,40.6,207562,3.77044819789867,3.56,38.2,40.2,357.4118,2.4188
1971 Q3,7.6,6,71614,6,5.55,3.8,40.8,208230,6.60685677667414,3.56,38.3,42.475,338.021,2.4694
1971 Q4,4.4,6,72109,5.89,4.14,5.2,41.1,208829,3.29255830728541,3.56,38.6,43.5,320.0727,2.5266
1972 Q1,14.3,5.8,72944,6.12,3.83,3.6,41.4,209299,5.89219466065323,3.56,39.2,48.375,302.5365,2.6181
1972 Q2,12.1,5.7,73758,6.15,4.46,3.2,41.7,209811,1.42886583774131,3.56,39.7,64.1,302.4145,2.5691
1972 Q3,7.9,5.5,74264,6.54,4.87,4.7,42.1,210379,4.30612935997292,3.56,40.2,64.1,301.119,2.441
1972 Q4,12.4,5.2,75268,6.41,5.33,7.6,42.5,210903,8.41514726507713,3.56,41.1,64.7,301.2405,2.3449
1973 Q1,15.4,4.9,76284,6.73,7.09,7.9,43.3,211337,14.4494753485698,3.56,43.4,90.25,261.9014,2.4724
1973 Q2,11,4.9,76887,6.94,8.49,7.7,44.2,211828,3.64846619988068,3.56,45.5,123.5,264.4981,2.5762
1973 Q3,5.8,4.8,77276,6.9,10.78,6.2,45.2,212382,2.14877868993164,4.31,46.7,100.25,265.4747,2.4183
1973 Q4,12.4,4.9,78031,6.9,9.95,3.2,46.2,212859,5.03356036417195,4.31,47.4,112.25,280.1775,2.3174
1974 Q1,4.1,5.1,78296,7.41,9.35,0.7,47.8,213286,6.02618279013298,10.11,50.6,173,282.1648,2.3406
1974 Q2,10.8,5.4,78604,7.64,11.93,-1.1,49,213770,2.56266865502059,10.11,52,146.75,282.97,2.3902
1974 Q3,8.1,5.9,78610,7.94,11.34,-1.4,50.6,214349,4.7748457284301,10.11,55.9,147.5,299.084,2.3165
1974 Q4,10.6,7.2,77652,7.4,8.53,-2.6,51.9,214857,-10.8640343631257,11.16,57.3,187.5,300.4114,2.3294
1975 Q1,4.2,8.6,76648,8.01,5.54,-1.1,52.7,215276,-12.2335693368425,11.16,56.9,177.75,287.9486,2.418
1975 Q2,9.1,8.8,76521,7.96,5.55,4.4,53.6,215871,4.96161846537215,11.16,58,166,293.4662,2.2803
1975 Q3,14.8,8.4,77228,8.48,6.24,2.8,54.6,216490,16.523147496127,11.16,59.4,138.25,299.909,2.0834
1975 Q4,12.7,8.2,78017,7.76,5.2,3.8,55.5,217013,7.13107889943105,11.16,59.7,140.25,305.67,2.0221
1976 Q1,14,7.6,79048,7.66,4.84,5.2,55.9,217455,6.93926231555875,12.1,60,129.5,300.5183,1.9428
1976 Q2,7.2,7.6,79376,7.86,5.48,1.1,56.8,217948,2.90048379074919,12.17,61.2,123.8,299.1909,1.764
